2,The battered shares of Delta Air Lines Inc. surged nearly 9 percent yesterday after its pilots agreed to salary cuts to try to help the ailing carrier avoid
3,Fujitsu Ltd. and Cisco Systems Inc. said today they have agreed to enter into a strategic alliance focusing on routers and switches that will help service providers and enterprises build advanced IP networks .
2,"LOS ANGELES ( Reuters ) - A federal appeals court on Thursday delivered a stinging blow to the anti-piracy efforts of major movie studios and music companies , ruling that several major online file-sharing software companies are not liable for copyright infringement ."
3,"In a trial , reminiscent of the 1925 Scopes trial in Tennessee , lawyers give their closing remarks on text book-sticker disclaimers stating that evolution is a theory , not a fact ."
3,"Bank of America Corp. this week announced plans for a corporate-wide IP telephony rollout that will eventually put an IP phone on every BoA employees desktop -- about 180,000 phones total ."
2,SHOPPING centres giant Westfield has cut a deal with fellow Australian developer Multiplex and billionaires Simon and David Reuben to carve up property group Chelsfield in a purchase worth 2 .
3,"The Chronicles of Riddick is not only one of the most satisfying movie tie-ins ever , but also perhaps the best-looking game the Xbox has yet seen ."
2,"Gary L. Pilgrim and Harold J. Baxter , founders of a tech-based mutual fund that blazed and then fizzled in the 1990s , agreed yesterday to pay $ 160 million to settle"
1,"Mia Hamm and the rest of the Fab Five of women s soccer from the United States had just enough left in their thirtysomething legs for one more title , beating Brazil 2-1 on Thursday in extra time to win the Olympic gold medal in their final"
2,Federal Reserve Chairman Alan Greenspan shook financial markets yesterday with a warning that foreign nations may tire of financing the huge US trade and budget deficits .
3,Venture capitalists are lavishing money on the fashionable Linux supercomputing concept -- but smaller firms face much larger rivals .
3,"November 16 , 2004 - NVIDIA today has announced an AGP version of its GeForce 6600 GT , its competitively priced , high-performance solution aimed at gamers ."
3,"For two months , Jacob Sevlie 's insurance company tagged along whenever he slid behind the wheel of his Honda Accord ."
3,"USATODAY.com - Tim Burton 's Ed Wood , which earned Martin Landau an Oscar for playing Bela Lugosi , is finally out an DVD today .	But what about the real-life oeuvre of writer/director/auteur Edward D. Wood Jr. ( 1924-1978 ) ?"
3,A Mozilla Foundation spokesman told silicon.com sister site ZDNet UK that he expects the browser s market share to reach 10 percent by the end of 2005 .
3,"Shipments go up , prices go down ... with more of the same on the horizon ."
1,"DURHAM , NC - JJ Redick and Daniel Ewing each scored 29 points to lead the No .	10 Duke Blue Devils over the No .	11 Michigan State Spartans 81-74 Tuesday night in the ACC-Big Ten Challenge ."
2,"Front-runner Conoco Phillips today won the auction for 7.6 per cent of Russian oil and gas group Lukoil , bidding some $ 2 billion , in a deal that also takes the US group into a joint venture to exploit the Timan-Pechora area of Russia ."
3,"roundup Plus : Web services outfits merge ... Microsoft sets holiday Xbox bundle ... PalmSource settles Digeo patent suit ... Maxtor loses its CFO , again ."
1,AP - Bill Belichick took a few minutes Monday to convey his congratulations to his offensive coordinator on becoming Notre Dame 's head coach .	Now it 's time for Charlie Weis to get back to work for the New England Patriots .	Weis will finish the NFL season at least six more games if the Patriots reach the Super Bowl and Belichick does n't expect his impending move will be a distraction .
1,BRUSSELS ( Reuters ) - Kim Clijsters will be out of action for the rest of the season but does not need more surgery on her wrist after suffering an injury in the Belgian Open .
2,"US stocks futures tumbled on Thursday after drug company Merck amp ; Co. ( MRK.N : Quote , Profile , Research ) announced it was recalling a key drug , indicating the market would open lower ."
3,"SPACE.com - Flip a coin .	Heads , Earth is a common sort of planet .	Tails , and ours is as unusual as a coin landing on edge .	That 's about the state of knowledge for scientists who ponder the question of our planet 's rarity ."
3,AP - Billionaire software executive Larry Ellison said Friday that he inquired about buying the San Francisco 49ers only to be told by the current owners that the team is n't for sale .
1,"Erik Morales and Marco Antonio Barrera put on another battle for the ages Saturday night , with Barrera barely coming out on top ."
2,SABMiller had a gain of $ 96 million from selling its 29.4 percent of Harbin Brewery Group to Anheuser-Busch Cos. and a gain of $ 239 million from the disposal of 21 percent of South African retailer Edgars Consolidated Stores Ltd .
3,"DECEMBER 13 , 2004 ( COMPUTERWORLD ) - SAN JOSE -- Cisco Systems Inc. s prices have typically been higher than those charged by its smaller networking rivals ."
0,"Reuters - More than a dozen `` Ayurvedic '' herbal remedies imported from India and Pakistan were found to contain harmful levels of the heavy metals mercury , lead and arsenic , U.S. researchers said on Tuesday ."
3,"The open-source app already has a cult following , a major portion of which like it because no one has written viruses to attack it yet ."
3,"Los Alamos employees like the University of California s benefits , its academic reputation and the chance to send their children to UC at in-state prices ."
3,Upcoming smart phone will feature a mobile version of F-Secure 's antivirus software .
2,Reuters - Caesars Entertainment Inc. on Thursday posted a rise in third-quarter profit as Las Vegas hotels filled up and Atlantic City properties squeaked out a profit that was unexpected by the company .
3,"EMC Corp. claims it has hit over 1,000 users and shipped more than 30 petabytes ( 30,000 TB ) of storage capacity since the introduction of its Centera product in April 2002 ."
2,"Reuters - Most European stock markets followed Wall Street lower Wednesday as crude oil 's slide to three-month lows hit heavily weighted oil shares , although a recovering dollar was a plus for the region 's exporters ."
3,"Authorities in Finland have warned their citizen against using Microsofts Internet Explorer 6 , citing a serious security flaw within the browser ."
2,Music giant EMI sees profits fall in the first half of the year after opting to delay its major releases .
1,GAME NOTES : Big 12 rivals clash in Columbia this weekend as Brad Smith and the Missouri Tigers play host to the surprisingly undefeated Buffaloes of Colorado .
3,"MOBILE phone operator mmO2 has signed a deal with Japanese group NTT DoCoMo to provide i-mode internet phone services in the UK , Germany and Ireland ."
3,"Cash'n'Carrion Cue trumpets , etc"
3,New chip will cut the time required to transfer content onto those devices .
2,"Still pushing for its big merger with Mandalay Resort Group ( MBG ) , casino giant MGM Mirage ( MGG ) pulled another card out of its sleeve on Nov. 10 with a giant residential and casino project it claims will"
1,WELFARE authorities in the Solomon Islands have reacted with outrage after a local soccer fan reportedly offered his eight-year-old son as bait for a bet on the Solomons clash with Australia .
