54842,108267
13977,61896
13766,113929
24853,109796
65563,112827
92211,103525
29384,94321
29581,65235
17110,27916
17857,30401
66715,83491
37475,107478
49725,55856
12087,56231
65965,73595
66314,93456
101612,106620
66971,87305
71656,100757
20326,27603
3324,97902
98248,113780
39424,98827
37825,75547
89181,119318
60046,65720
7754,108999
12163,62247
9836,97610
63792,101096
93325,101146
20153,68638
19556,112305
35025,43946
1329,18350
47186,97074
42859,93560
23683,113760
58760,104738
100221,109862
28155,67615
87106,105309
12801,56673
70749,94312
586,95588
9500,117856
32460,118457
67413,81776
76603,116587
39757,112697
6438,54056
56763,62702
6480,100857
59378,67674
75896,107656
5591,57069
38869,43195
13544,13564
51500,92814
9709,75149
22113,106448
65099,113074
658,23760
1251,27817
3404,41081
13403,66826
22115,65082
42370,112902
23789,35408
28205,113950
14033,45566
56644,63620
16415,73877
20695,78014
90044,105746
37168,65173
59306,93896
76102,83603
76405,106263
25194,44638
35296,108734
82072,95973
7605,21038
22719,34409
89997,100025
56284,93599
9645,31623
41606,43307
41635,92163
5935,65142
16454,101765
46319,84404
61927,67845
20247,105573
14253,68705
7202,89759
6256,32111
44619,68548
14185,24627
15600,84409
58742,71828
51664,69424
32526,58362
18977,113921
37282,87554
11905,66928
35467,84489
45138,105235
12636,13030
50418,69339
53549,118985
39309,72262
11655,91979
47493,103769
72310,90598
25612,110906
1023,55631
66778,70957
8908,106744
28689,73586
62353,63695
62423,64626
62993,63404
95437,113647
5987,90185
20170,30621
45221,68090
57966,59034
4601,27486
67442,115491
13918,114786
58345,112958
101410,119868
54563,113105
57069,112896
23509,26761
12120,107657
90212,111799
78434,107967
5084,70562
33883,115730
13637,117308
15957,26214
66709,91484
84206,98639
75496,95527
78492,88860
95001,97823
20585,116098
6558,15108
89280,116488
4908,95192
40484,56182
67927,84987
57696,63749
58479,105352
1379,106710
17061,26214
3832,49769
63677,65684
43573,117654
6676,113130
48368,85017
83078,96962
20128,24101
14492,18244
13660,73853
52829,118017
11245,56436
102215,112386
19932,89181
69595,93965
67072,84324
43093,84551
57232,89876
73448,107252
109965,116999
54318,69148
62837,79554
34504,52483
31349,85339
48609,51806
12308,22728
77300,94023
43238,78386
30171,114278
52008,87705
58319,82510
16776,108452
19519,93141
25969,30758
6478,90422
13970,59265
47185,97448
19591,83674
22895,32547
6866,64642
38133,104230
34854,75957
3224,103923
30624,118148
98518,112969
65816,72701
18798,116400
17860,44600
4979,76698
35134,102285
22566,99998
12570,90322
5254,92151
13445,29392
100240,111725
8853,76698
59084,106231
53931,100475
58109,102235
78833,100460
31569,40248
95565,96996
17860,34542
53827,89781
98688,111483
50000,69831
106384,119086
11206,78384
55974,117859
14482,91924
1124,49868
61708,90460
29445,77027
21342,58242
1624,100106
73790,103048
75635,92332
48219,69721
41635,83497
19894,98412
18607,82581
7804,117201
48609,56293
5171,30455
571,27065
21372,66080
104122,105399
31824,83760
16481,39845
44331,74263
13067,100529
31391,49634
16944,114902
103593,109902
13542,91399
27234,54537
6662,63543
904,30228
51572,52946
85579,113032
27867,73755
46304,114538
50748,78686
34338,98369
71882,72129
1208,19610
95933,107007
91070,100054
110180,118108
979,109774
25214,86353
50070,50556
62362,87116
32362,118639
38932,39356
15289,66789
9493,11848
24543,69367
6759,85688
62871,116854
3578,83390
19412,71304
30102,75019
27880,66789
43812,52348
5516,51516
13292,89904
47534,51567
39291,101271
5600,57327
85304,112889
36002,63544
100018,106445
35967,55810
43011,52215
87715,94266
2550,67591
100008,112838
32488,38883
61709,87348
57440,101165
83651,93560
34086,49951
19348,64251
12560,49394
22113,88044
70416,113096
19535,61914
68832,105771
6422,96960
72742,84253
55602,62334
43342,92588
33303,105054
20573,69621
55598,115267
82763,101266
20763,40078
58907,69841
81113,87553
17559,18361
25558,80793
8774,84202
41080,91017
4733,41180
7606,43312
15207,16043
33354,44970
30476,85818
6307,116383
37255,114375
58705,78576
28232,52363
93264,106665
10562,114509
71784,94464
34024,114991
31662,38388
28944,72702
722,89069
43701,97413
51976,119821
45140,53661
11030,50992
46476,55676
29462,48244
22317,23484
18978,96722
56469,63004
56680,93261
69433,91833
26749,94541
35034,79007
34162,82454
26737,68625
6711,23670
33082,56068
109939,116702
55607,80381
64181,95472
13094,79201
68494,78896
34820,64807
7794,63353
31135,83084
1486,114691
57032,90995
32703,75673
47787,72262
49545,101431
38947,49816
48375,105845
52731,113720
3647,117998
29612,55180
60890,98047
6693,61318
7320,12970
16262,86373
55272,111318
28598,73483
42632,49053
18482,53259
48114,107959
61793,94229
1032,101054
108331,116394
3762,31948
9772,69892
80093,85375
6210,103741
33546,93775
22106,50464
29125,96989
68199,87567
62775,94241
75281,87304
15602,44421
38708,85718
27774,94634
6463,22630
39638,53474
64182,93101
18307,95653
37169,74868
33875,105025
90552,94858
3633,38865
26567,97333
62746,96287
1935,104497
46259,100109
22726,103697
9364,43147
37658,45237
14456,52035
34216,89075
13470,116529
14958,100386
14641,90541
9497,17647
35717,109791
31550,80289
42612,90897
54787,90172
24405,72144
28354,99777
79926,100720
17656,110121
89635,90642
40489,105922
27833,40706
23153,47451
62524,98412
20444,86899
20136,106059
48417,80678
86228,119246
44655,110295
12059,13523
69622,77038
7497,81528
18226,69481
6316,113612
23380,64279
20060,77990
2757,44533
16602,60540
97775,105939
51205,113788
6680,51000
16643,51689
19976,56107
18908,31724
30183,39352
41327,47452
6712,100181
74448,114104
8618,34216
28741,69820
39127,66580
31203,107561
33959,77169
26730,59867
25773,35769
21888,113740
52108,97433
27653,37702
90666,117767
3595,72366
74263,101901
49300,118878
15969,101265
